scenario,task,task_id,run_id,target_case,model,model_type,features,n_features,input_strategy,segment,input_length_pct,rmse,r2,mae,n_runs,seed,source_file
S1,T6,S1_T6,2026-06-08_173840_H4_S1_T6_raw_only,4,MLP,ML,Raw,24,prefix,-,60.0,0.0713146227828643,0.732729519830063,0.0554674809030952,7,0,experiments/executions/H4/S1/T6/2026-06-08_173840_H4_S1_T6_raw_only/metrics/H4_S1_T6_shift_metrics.csv
S1,T2,S1_T2,2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models,4,RandomForest,ML,Raw+Delta+Meta,51,prefix,-,40.0,0.0713464322363574,0.7324910379129128,0.0618690476190476,7,0,experiments/executions/H4/S1/T2/2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models/metrics/H4_S1_T2_shift_metrics.csv
S1,T8,S1_T8,2026-06-08_174655_H4_S1_T8_raw_delta_no_meta,4,RandomForest,ML,Raw+Delta,48,prefix,-,70.0,0.0714317189088282,0.7318511016224556,0.0621607142857143,7,0,experiments/executions/H4/S1/T8/2026-06-08_174655_H4_S1_T8_raw_delta_no_meta/metrics/H4_S1_T8_shift_metrics.csv
S1,T2,S1_T2,2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models,4,RandomForest,ML,Raw+Delta+Meta,51,prefix,-,30.0,0.0714870059787757,0.7314358546046051,0.0604333333333332,7,0,experiments/executions/H4/S1/T2/2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models/metrics/H4_S1_T2_shift_metrics.csv
S1,T2,S1_T2,2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models,4,RandomForest,ML,Raw+Delta+Meta,51,prefix,-,50.0,0.0714977600520486,0.7313550461920253,0.0592583333333333,7,0,experiments/executions/H4/S1/T2/2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models/metrics/H4_S1_T2_shift_metrics.csv
S1,T8,S1_T8,2026-06-08_174655_H4_S1_T8_raw_delta_no_meta,4,feature_gru,DL,Raw+Delta,48,prefix,-,100.0,0.0716884445277451,0.7299201488494873,0.0659042075276374,7,0,experiments/executions/H4/S1/T8/2026-06-08_174655_H4_S1_T8_raw_delta_no_meta/metrics/H4_S1_T8_shift_metrics.csv
S1,T2,S1_T2,2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models,4,RandomForest,ML,Raw+Delta+Meta,51,prefix,-,80.0,0.0718872036568621,0.7284204928887223,0.0614821428571428,7,0,experiments/executions/H4/S1/T2/2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models/metrics/H4_S1_T2_shift_metrics.csv
S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,4,RandomForest,ML,Delta+Meta,27,prefix,-,60.0,0.0721797973455264,0.7262052401359693,0.0634440476190475,7,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
S3,T3,S3_T3,2026-06-08_201721_H4_S3_T3_steady,4,RandomForest,ML,Raw+Delta+Meta,51,segment,Steady,100.0,0.0723644113892616,0.7248028810060052,0.0639738095238096,7,0,experiments/executions/H4/S3/T3/2026-06-08_201721_H4_S3_T3_steady/metrics/H4_S3_T3_locv_per_case.csv
S1,T5,S1_T5,2026-06-08_171530_H4_S1_T5_with_case6,4,RandomForest,ML,Raw+Delta+Meta,51,prefix_with_case6,-,80.0,0.0723957350975695,0.7245645854187521,0.064347619047619,7,0,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/metrics/H4_S1_T5_shift_metrics.csv
S1,T7,S1_T7,2026-06-08_174208_H4_S1_T7_delta_only,4,RandomForest,ML,Delta,24,prefix,-,60.0,0.0724549366340506,0.7241139271883626,0.0638058510414642,7,0,experiments/executions/H4/S1/T7/2026-06-08_174208_H4_S1_T7_delta_only/metrics/H4_S1_T7_shift_metrics.csv
S1,T8,S1_T8,2026-06-08_174655_H4_S1_T8_raw_delta_no_meta,4,RandomForest,ML,Raw+Delta,48,prefix,-,30.0,0.0727053233788217,0.7222038413413414,0.0622380952380952,7,0,experiments/executions/H4/S1/T8/2026-06-08_174655_H4_S1_T8_raw_delta_no_meta/metrics/H4_S1_T8_shift_metrics.csv
S3,T4,S3_T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,4,XGBoost,ML,Raw+Delta+Meta,51,noload_excl_prefix,Entry+Steady+Exit,60.0,0.0729800858085401,0.7201002216790304,0.0654893582420689,7,0,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/metrics/H4_S3_T4_locv_per_case.csv
S1,T7,S1_T7,2026-06-08_174208_H4_S1_T7_delta_only,4,RandomForest,ML,Delta,24,prefix,-,50.0,0.0730259923650357,0.719747981033875,0.062912993898607,7,0,experiments/executions/H4/S1/T7/2026-06-08_174208_H4_S1_T7_delta_only/metrics/H4_S1_T7_shift_metrics.csv
